date,open,high,low,close,volume,exchange,instrument
2020-01-01 00:00:00+05:30,12202.15,12222.2,12165.3,12182.5,0,NSE,256265
2020-01-02 00:00:00+05:30,12198.55,12289.9,12195.25,12282.2,0,NSE,256265
2020-01-03 00:00:00+05:30,12261.1,12265.6,12191.35,12226.65,0,NSE,256265
2020-01-06 00:00:00+05:30,12170.6,12179.1,11974.2,11993.05,0,NSE,256265
2020-01-07 00:00:00+05:30,12079.1,12152.15,12005.35,12052.95,0,NSE,256265
2020-01-08 00:00:00+05:30,11939.1,12044.95,11929.6,12025.35,0,NSE,256265
2020-01-09 00:00:00+05:30,12153.15,12224.05,12132.55,12215.9,0,NSE,256265
2020-01-10 00:00:00+05:30,12271.0,12311.2,12213.2,12256.8,0,NSE,256265
2020-01-13 00:00:00+05:30,12296.7,12337.75,12285.8,12329.55,0,NSE,256265
2020-01-14 00:00:00+05:30,12333.1,12374.25,12308.7,12362.3,0,NSE,256265
2020-01-15 00:00:00+05:30,12349.4,12355.15,12278.75,12343.3,0,NSE,256265
2020-01-16 00:00:00+05:30,12347.1,12389.05,12315.8,12355.5,0,NSE,256265
2020-01-17 00:00:00+05:30,12328.4,12385.45,12321.4,12352.35,0,NSE,256265
2020-01-20 00:00:00+05:30,12430.5,12430.5,12216.9,12224.55,0,NSE,256265
2020-01-21 00:00:00+05:30,12195.3,12230.05,12162.3,12169.85,0,NSE,256265
2020-01-22 00:00:00+05:30,12218.35,12225.05,12087.9,12106.9,0,NSE,256265
2020-01-23 00:00:00+05:30,12123.75,12189.0,12094.1,12180.35,0,NSE,256265
2020-01-24 00:00:00+05:30,12174.55,12272.15,12149.65,12248.25,0,NSE,256265
2020-01-27 00:00:00+05:30,12197.1,12216.6,12107.0,12119.0,0,NSE,256265
2020-01-28 00:00:00+05:30,12148.1,12163.55,12024.5,12055.8,0,NSE,256265
2020-01-29 00:00:00+05:30,12114.9,12169.6,12103.8,12129.5,0,NSE,256265
2020-01-30 00:00:00+05:30,12147.75,12150.3,12010.6,12035.8,0,NSE,256265
2020-01-31 00:00:00+05:30,12100.4,12103.55,11945.85,11962.1,0,NSE,256265
2020-02-01 00:00:00+05:30,11939.0,12017.35,11633.3,11661.85,0,NSE,256265
2020-02-03 00:00:00+05:30,11627.45,11749.85,11614.5,11707.9,0,NSE,256265
2020-02-04 00:00:00+05:30,11786.25,11986.15,11783.4,11979.65,0,NSE,256265
2020-02-05 00:00:00+05:30,12005.85,12098.15,11953.35,12089.15,0,NSE,256265
2020-02-06 00:00:00+05:30,12120.0,12160.6,12084.65,12137.95,0,NSE,256265
2020-02-07 00:00:00+05:30,12151.15,12154.7,12073.95,12098.35,0,NSE,256265
2020-02-10 00:00:00+05:30,12102.35,12103.55,11990.75,12031.5,0,NSE,256265
2020-02-11 00:00:00+05:30,12108.4,12172.3,12099.0,12107.9,0,NSE,256265
2020-02-12 00:00:00+05:30,12151.0,12231.75,12144.3,12201.2,0,NSE,256265
2020-02-13 00:00:00+05:30,12219.55,12225.65,12139.8,12174.65,0,NSE,256265
2020-02-14 00:00:00+05:30,12190.15,12246.7,12091.2,12113.45,0,NSE,256265
2020-02-17 00:00:00+05:30,12131.8,12159.6,12037.0,12045.8,0,NSE,256265
2020-02-18 00:00:00+05:30,12028.25,12030.75,11908.05,11992.5,0,NSE,256265
2020-02-19 00:00:00+05:30,12090.6,12134.7,12042.1,12125.9,0,NSE,256265
2020-02-20 00:00:00+05:30,12119.0,12152.0,12071.45,12080.85,0,NSE,256265
2020-02-24 00:00:00+05:30,12012.55,12012.55,11813.4,11829.4,0,NSE,256265
2020-02-25 00:00:00+05:30,11877.5,11883.05,11779.9,11797.9,0,NSE,256265
2020-02-26 00:00:00+05:30,11738.55,11783.25,11639.6,11678.5,0,NSE,256265
2020-02-27 00:00:00+05:30,11661.25,11663.85,11536.7,11633.3,0,NSE,256265
2020-02-28 00:00:00+05:30,11382.0,11384.8,11175.05,11201.75,0,NSE,256265
2020-03-02 00:00:00+05:30,11387.35,11433.0,11036.25,11132.75,0,NSE,256265
2020-03-03 00:00:00+05:30,11217.55,11342.25,11152.55,11303.3,0,NSE,256265
2020-03-04 00:00:00+05:30,11351.35,11356.6,11082.15,11251.0,0,NSE,256265
